iter	Passed	Remaining
0	156	156134
1	169	84522
2	182	60587
3	194	48396
4	206	41034
5	218	36161
6	230	32720
7	242	30112
8	254	27992
9	264	26212
10	274	24681
11	284	23428
12	294	22380
13	304	21416
14	314	20619
15	324	19940
16	333	19297
17	344	18811
18	354	18310
19	364	17874
20	375	17501
21	387	17207
22	398	16937
23	410	16687
24	419	16376
25	430	16111
26	440	15869
27	451	15659
28	463	15508
29	473	15312
30	482	15094
31	492	14912
32	502	14729
33	512	14568
34	523	14445
35	535	14352
36	547	14254
37	559	14158
38	570	14062
39	582	13987
40	593	13884
41	605	13799
42	614	13685
43	624	13577
44	636	13504
45	646	13411
46	657	13331
47	668	13260
48	680	13216
49	691	13147
50	703	13090
51	714	13023
52	723	12936
53	733	12851
54	742	12761
55	753	12704
56	764	12654
57	775	12599
58	787	12562
59	798	12515
60	809	12465
61	821	12427
62	832	12385
63	844	12354
64	855	12308
65	867	12273
66	878	12240
67	890	12203
68	901	12169
69	913	12135
70	924	12096
71	935	12057
72	946	12020
73	957	11986
74	968	11940
75	979	11903
76	989	11857
77	998	11807
78	1009	11766
79	1018	11713
80	1028	11670
81	1038	11628
82	1048	11580
83	1058	11540
84	1067	11494
85	1079	11471
86	1091	11452
87	1103	11435
88	1115	11419
89	1128	11408
90	1139	11386
91	1151	11361
92	1162	11339
93	1174	11319
94	1185	11295
95	1197	11273
96	1209	11259
97	1219	11223
98	1229	11185
99	1240	11162
100	1251	11138
101	1260	11100
102	1271	11069
103	1280	11031
104	1290	11002
105	1300	10972
106	1311	10946
107	1321	10916
108	1330	10879
109	1340	10849
110	1350	10818
111	1360	10785
112	1370	10757
113	1379	10723
114	1390	10696
115	1400	10669
116	1410	10642
117	1420	10615
118	1430	10592
119	1441	10570
120	1452	10553
121	1462	10526
122	1473	10504
123	1484	10485
124	1493	10457
125	1505	10442
126	1517	10429
127	1527	10409
128	1539	10394
129	1550	10374
130	1559	10343
131	1570	10326
132	1581	10312
133	1592	10294
134	1604	10279
135	1614	10258
136	1624	10235
137	1634	10211
138	1644	10187
139	1654	10162
140	1664	10143
141	1674	10118
142	1685	10098
143	1695	10076
144	1706	10061
145	1718	10051
146	1728	10030
147	1737	10004
148	1747	9982
149	1757	9958
150	1767	9940
151	1777	9918
152	1787	9897
153	1798	9878
154	1807	9855
155	1817	9832
156	1828	9817
157	1837	9793
158	1849	9780
159	1862	9776
160	1875	9773
161	1887	9766
162	1901	9761
163	1913	9754
164	1925	9742
165	1937	9732
166	1946	9710
167	1956	9690
168	1965	9666
169	1976	9647
170	1985	9627
171	1995	9608
172	2006	9592
173	2016	9570
